feature,mean,std,count,cv
financials_2027_ytd_2597012_lag_5_roll_mean_5,0.0,0.0,2,
financials_2027_ytd_2597012_lag_5_roll_mean_63,0.0,0.0,2,
financials_2027_ytd_2597012_lag_5_roll_std_21,0.0,0.0,2,
financials_2027_ytd_2597012_lag_5_roll_std_5,0.0,0.0,2,
financials_2027_ytd_2597012_lag_5_roll_std_63,0.0011083719,5.8687758e-05,2,0.052949518
financials_2027_ytd_2597012_roll_mean_21,0.0,0.0,2,
financials_2027_ytd_2597012_roll_mean_5,0.0,0.0,2,
financials_2027_ytd_2597012_roll_mean_63,0.0,0.0,2,
financials_2027_ytd_2597012_roll_std_21,0.0,0.0,2,
financials_2027_ytd_2597012_roll_std_5,0.0,0.0,2,
financials_2027_ytd_2597012_roll_std_63,0.0,0.0,2,
financials_2027_ytd_2598185,0.0,0.0,2,
financials_2027_ytd_2598185_lag_1,0.0,0.0,2,
financials_2027_ytd_2598185_lag_1_roll_mean_21,0.0,0.0,2,
financials_2027_ytd_2598185_lag_1_roll_mean_5,0.0,0.0,2,
financials_2027_ytd_2598185_lag_1_roll_mean_63,0.0,0.0,2,
financials_2027_ytd_2598185_lag_1_roll_std_21,0.0,0.0,2,
financials_2027_ytd_2598185_lag_1_roll_std_5,0.0,0.0,2,
financials_2027_ytd_2598185_lag_1_roll_std_63,0.0,0.0,2,
financials_2027_ytd_2598185_lag_21,0.0,0.0,2,
financials_2027_ytd_2598185_lag_21_roll_mean_21,0.0,0.0,2,
financials_2027_ytd_2598185_lag_21_roll_mean_5,0.0,0.0,2,
financials_2027_ytd_2598185_lag_21_roll_mean_63,0.0,0.0,2,
financials_2027_ytd_2598185_lag_21_roll_std_21,0.0,0.0,2,
financials_2027_ytd_2598185_lag_21_roll_std_5,0.0,0.0,2,
financials_2027_ytd_2598185_lag_21_roll_std_63,0.0,0.0,2,
financials_2027_ytd_2598185_lag_5,0.0,0.0,2,
financials_2027_ytd_2598185_lag_5_roll_mean_21,0.0,0.0,2,
financials_2027_ytd_2598185_lag_5_roll_mean_5,0.0,0.0,2,
financials_2027_ytd_2598185_lag_5_roll_mean_63,0.0,0.0,2,
financials_2027_ytd_2598185_lag_5_roll_std_21,0.0,0.0,2,
financials_2027_ytd_2598185_lag_5_roll_std_5,0.0,0.0,2,
financials_2027_ytd_2598185_lag_5_roll_std_63,0.0,0.0,2,
financials_2027_ytd_2598185_roll_mean_21,0.0,0.0,2,
financials_2027_ytd_2598185_roll_mean_5,0.0,0.0,2,
financials_2027_ytd_2598185_roll_mean_63,0.0,0.0,2,
financials_2027_ytd_2598185_roll_std_21,0.0,0.0,2,
financials_2027_ytd_2598185_roll_std_5,0.0,0.0,2,
financials_2027_ytd_2598185_roll_std_63,0.0,0.0,2,
financials_2027_ytd_2608553,0.0,0.0,2,
financials_2027_ytd_2608553_lag_1,0.0,0.0,2,
financials_2027_ytd_2608553_lag_1_roll_mean_21,0.0,0.0,2,
financials_2027_ytd_2608553_lag_1_roll_mean_5,0.0,0.0,2,
financials_2027_ytd_2608553_lag_1_roll_mean_63,0.0,0.0,2,
financials_2027_ytd_2608553_lag_1_roll_std_21,0.0,0.0,2,
