date,portfolio_value
2021-11-15,1595998.2323204426
2021-11-16,1595044.1655855393
2021-11-17,1594056.9696939087
2021-11-18,1593416.3705773912
2021-11-19,1593225.604811347
2021-11-22,1593225.604811347
2021-11-23,1593303.4956249592
2021-11-24,1593617.2930228284
2021-11-26,1593918.6594669304
2021-11-29,1594401.801371851
2021-11-30,1594888.0054219135
2021-12-01,1595445.88082415
2021-12-02,1595659.2281817645
2021-12-03,1595706.4124510519
2021-12-06,1595192.0321734769
2021-12-07,1594222.7812710842
2021-12-08,1594222.7812710842
2021-12-09,1594222.7812710842
2021-12-10,1594222.7812710842
2021-12-13,1591494.3549493926
2021-12-14,1589022.1452203514
2021-12-15,1588076.6821444435
2021-12-16,1585023.8510572282
2021-12-17,1581721.7107244588
2021-12-20,1579583.986772677
2021-12-21,1583304.029675756
2021-12-22,1587299.1617555805
2021-12-23,1591623.3989801002
2021-12-27,1596377.145660065
2021-12-28,1601476.794088373
2021-12-29,1606907.0726570862
2021-12-30,1612516.0521855406
2021-12-31,1618338.9289969204
2022-01-03,1624189.448630814
2022-01-04,1630111.9758639475
2022-01-05,1636009.6375882428
2022-01-06,1642125.7904919018
2022-01-07,1648211.3719707583
2022-01-10,1654279.5927432792
2022-01-11,1660255.432475823
2022-01-12,1666177.6276566696
2022-01-13,1671825.5060863765
2022-01-14,1671825.5060863765
2022-01-18,1671825.5060863765
2022-01-19,1671825.5060863765
2022-01-20,1671825.5060863765
2022-01-21,1667462.3589729888
2022-01-24,1667462.3589729888
2022-01-25,1667462.3589729888
2022-01-26,1667462.3589729888
2022-01-27,1663706.1956571427
2022-01-28,1661742.956650034
2022-01-31,1660870.3868745507
2022-02-01,1660870.3868745507
2022-02-02,1660870.3868745507
2022-02-03,1660870.3868745507
2022-02-04,1660870.3868745507
2022-02-07,1660870.3868745507
2022-02-08,1660870.3868745507
2022-02-09,1661431.4248077606
2022-02-10,1662325.5414890214
2022-02-11,1662325.5414890214
2022-02-14,1662955.9582551375
2022-02-15,1663866.7758861154
2022-02-16,1665571.730881277
2022-02-17,1666850.4151453455
2022-02-18,1667828.1794590608
2022-02-22,1669018.1960682105
2022-02-23,1670021.4256931772
2022-02-24,1671088.2299519219
2022-02-25,1671088.2299519219
2022-02-28,1671088.2299519219
2022-03-01,1671088.2299519219
2022-03-02,1669889.819185335
2022-03-03,1669569.9586440693
2022-03-04,1669711.7287764815
2022-03-07,1669711.7287764815
2022-03-08,1669766.0101470384
2022-03-09,1669759.654416349
2022-03-10,1669759.654416349
2022-03-11,1669759.654416349
2022-03-14,1669370.769227419
2022-03-15,1668543.9167058072
2022-03-16,1668543.9167058072
2022-03-17,1668543.9167058072
2022-03-18,1668543.9167058072
2022-03-21,1669098.7373556062
2022-03-22,1670747.32031764
2022-03-23,1671659.2090375514
2022-03-24,1671849.686465957
2022-03-25,1671720.5314874765
2022-03-28,1671851.8496016192
2022-03-29,1672743.6615008102
2022-03-30,1674630.7387118146
2022-03-31,1677470.1467866094
2022-04-01,1680909.9122496177
2022-04-04,1684524.0223334292
2022-04-05,1687589.846017566
2022-04-06,1690123.503663311
2022-04-07,1691679.7629394482
2022-04-08,1692154.7118074826
2022-04-11,1692327.167861391
2022-04-12,1692327.167861391
2022-04-13,1692327.167861391
2022-04-14,1692327.167861391
2022-04-18,1692062.6057636393
2022-04-19,1692062.6057636393
2022-04-20,1692062.6057636393
2022-04-21,1692062.6057636393
2022-04-22,1690174.3018429193
2022-04-25,1687780.2476866555
2022-04-26,1685985.170142728
2022-04-27,1685075.5561901317
2022-04-28,1685027.5672103346
2022-04-29,1686164.6179651096
2022-05-02,1688387.380840607
2022-05-03,1691290.6367966598
2022-05-04,1694553.4072635819
2022-05-05,1697792.6730495917
2022-05-06,1700944.2889764544
2022-05-09,1703497.9959279192
2022-05-10,1705417.8737450163
2022-05-11,1706569.1669580932
2022-05-12,1706569.1669580932
2022-05-13,1706569.1669580932
2022-05-16,1706424.5332503382
2022-05-17,1706306.6813829741
2022-05-18,1706026.2583534122
2022-05-19,1705762.0927594218
2022-05-20,1705581.175319189
2022-05-23,1705581.175319189
2022-05-24,1705935.235450747
2022-05-25,1706302.1600377841
2022-05-26,1705515.3445654975
2022-05-27,1704660.137629204
2022-05-31,1703951.631401691
2022-06-01,1703522.0991981167
2022-06-02,1703115.2914564551
2022-06-03,1702578.0614046995
2022-06-06,1701945.0036801945
2022-06-07,1701548.2315817552
2022-06-08,1701293.084188324
2022-06-09,1701183.8898309493
2022-06-10,1701052.7397310557
2022-06-13,1700869.154724378
2022-06-14,1700869.154724378
2022-06-15,1700869.154724378
2022-06-16,1701452.860036145
2022-06-17,1702855.6374256124
2022-06-21,1705030.1615012563
2022-06-22,1707746.9952297788
2022-06-23,1710696.0552007332
2022-06-24,1713734.2898884807
2022-06-27,1716699.973894463
2022-06-28,1719459.6632848287
2022-06-29,1722349.7314578074
2022-06-30,1725582.916286428
2022-07-01,1729000.53515927
2022-07-05,1732438.5038822596
2022-07-06,1735756.1022243793
2022-07-07,1738856.883163139
2022-07-08,1742364.8911052013
2022-07-11,1746041.4946609458
2022-07-12,1750049.443978743
2022-07-13,1754258.6024741216
2022-07-14,1758667.4492803437
2022-07-15,1762958.0181996361
2022-07-18,1767767.081905739
2022-07-19,1772778.7018030775
2022-07-20,1777735.682373977
2022-07-21,1782181.071056068
2022-07-22,1784521.9564944406
2022-07-25,1784521.9564944406
2022-07-26,1784521.9564944406
2022-07-27,1782522.1151381894
2022-07-28,1780952.8789565202
2022-07-29,1779806.514717301
2022-08-01,1779361.1451562447
2022-08-02,1779567.7886725042
2022-08-03,1780445.3659697769
