date,weights,portfolio_return,prediction,actual_return
2020-09-25,{'primary_asset': np.float32(0.02)},0.001366776981140144,0.06937801,0.04868328069872596
2020-09-28,{'primary_asset': np.float32(0.02)},0.0010579967891503443,0.056970824,0.01328131231344529
2020-09-29,{'primary_asset': np.float32(0.02)},0.0006004058137105743,0.0439696,-0.043549212038577825
2020-09-30,{'primary_asset': np.float32(0.02)},0.00013613286607368246,0.047894746,-0.02898282491290157
2020-10-01,{'primary_asset': np.float32(0.02)},-0.00017901931677319095,0.0682767,-0.009187386327097575
2020-10-02,{'primary_asset': np.float32(0.02)},-0.00042260104290806847,0.060812652,-0.012212152196112408
2020-10-05,{'primary_asset': np.float32(0.02)},-0.0006121462056377372,0.043545023,-0.03410497942813807
2020-10-06,{'primary_asset': np.float32(0.02)},-0.0005694971291875046,0.028887015,-0.0328869426876994
2020-10-07,{'primary_asset': np.float32(0.02)},-0.0005287324650747767,0.034148928,-0.018791658656929243
2020-10-08,{'primary_asset': np.float32(0.02)},-0.00028355100263647003,0.054115657,0.0521079806525373
2020-10-09,{'primary_asset': np.float32(0.02)},-0.00022276496381138354,0.04755399,0.002984357849827681
2020-10-12,{'primary_asset': np.float32(0.02)},-4.757849723270013e-05,0.055326924,0.009691638195463476
2020-10-13,{'primary_asset': np.float32(0.02)},0.0001422287747532208,0.051665694,0.014564876369411634
2020-10-14,{'primary_asset': np.float32(0.02)},0.00020984229771738624,0.050192684,-0.0018882775380678553
2020-10-15,{'primary_asset': np.float32(0.02)},0.00016383780735533364,0.06226159,0.040606857804954016
2020-10-16,{'primary_asset': np.float32(0.02)},0.0003376645977549011,0.05681526,0.046441056421052423
2020-10-19,{'primary_asset': np.float32(0.02)},0.0006328135602664089,0.05447101,0.08347888047261381
2020-10-20,{'primary_asset': np.float32(0.02)},0.0009123968238777611,0.054704726,0.08446069383454295
2020-10-21,{'primary_asset': np.float32(0.02)},0.0011600662812185677,0.052687816,0.060029088181094765
2020-10-22,{'primary_asset': np.float32(0.02)},0.0012708728600235436,0.052032243,0.06830850312537806
2020-10-23,{'primary_asset': np.float32(0.02)},0.0014614089856928734,0.05057842,0.09407508890308848
